"Time","myMedian.getCount()","currentADC","currentAverage","lastSignificantAverage","deltaAverage","triggered","fading","fadeDir","fadeValue"
266187,19,392,392.11,391.56,0.56,0,1,0,91
266202,19,389,391.78,391.44,0.33,0,1,0,91
266220,19,389,391.78,391.11,0.67,0,1,0,91
266223,19,389,391.78,391.11,0.67,0,1,0,92
266238,19,389,391.44,392.11,-0.67,0,1,0,92
266256,19,389,391.11,392.11,-1.00,0,1,0,92
266259,19,389,391.11,392.11,-1.00,0,1,0,93
266274,19,385,391.11,392.11,-1.00,0,1,0,93
266292,19,437,391.11,391.78,-0.67,0,1,0,93
266295,19,437,391.11,391.78,-0.67,0,1,0,94
266310,19,399,391.11,392.11,-1.00,0,1,0,94
266328,19,396,390.89,391.78,-0.89,0,1,0,94
266331,19,396,390.89,391.78,-0.89,0,1,0,95
266346,19,389,390.56,391.78,-1.22,0,1,0,95
266364,19,392,390.89,391.44,-0.56,0,1,0,95
266368,19,392,390.89,391.44,-0.56,0,1,0,96
266382,19,389,390.89,391.11,-0.22,0,1,0,96
266400,19,389,390.89,391.11,-0.22,0,1,0,96
266404,19,389,390.89,391.11,-0.22,0,1,0,97
266418,19,392,391.22,391.11,0.11,0,1,0,97
266436,19,384,391.22,391.11,0.11,0,1,0,97
266440,19,384,391.22,391.11,0.11,0,1,0,98
266454,19,431,391.22,390.89,0.33,0,1,0,98
266472,19,397,391.22,390.56,0.67,0,1,0,98
266476,19,397,391.22,390.56,0.67,0,1,0,99
266490,19,393,390.89,390.89,0.00,0,1,0,99
266508,19,389,390.44,390.89,-0.44,0,1,0,99
266512,19,389,390.44,390.89,-0.44,0,1,0,100
266526,19,389,390.11,390.89,-0.78,0,1,0,100
266544,19,393,390.56,391.22,-0.67,0,1,0,100
266548,19,393,390.56,391.22,-0.67,0,1,0,101
266562,19,392,390.89,391.22,-0.33,0,1,0,101
266580,19,389,390.89,391.22,-0.33,0,1,0,101
266584,19,389,390.89,391.22,-0.33,0,1,0,102
266598,19,384,390.89,391.22,-0.33,0,1,0,102
266616,19,426,391.67,390.89,0.78,0,1,0,102
266620,19,426,391.67,390.89,0.78,0,1,0,103
266634,19,406,391.67,390.44,1.22,0,1,0,103
266652,19,398,391.67,390.11,1.56,0,1,0,103
266656,19,398,391.67,390.11,1.56,0,1,0,104
266670,19,391,391.11,390.56,0.56,0,1,0,104
266688,19,393,391.56,390.89,0.67,0,1,0,104
266692,19,393,391.56,390.89,0.67,0,1,0,105
266706,19,389,391.22,390.89,0.33,0,1,0,105
266724,19,392,391.56,390.89,0.67,0,1,0,105
266728,19,392,391.56,390.89,0.67,0,1,0,106
266742,19,392,391.89,391.67,0.22,0,1,0,106
266760,19,392,391.89,391.67,0.22,0,1,0,106
266764,19,392,391.89,391.67,0.22,0,1,0,107
266778,19,422,392.78,391.67,1.11,0,1,0,107
266796,19,433,392.78,391.11,1.67,0,1,0,107
266800,19,433,392.78,391.11,1.67,0,1,0,108
266814,19,396,392.67,391.56,1.11,0,1,0,108
266832,19,395,392.89,391.22,1.67,0,1,0,108
266836,19,395,392.89,391.22,1.67,0,1,0,109
266850,19,389,392.89,391.56,1.33,0,1,0,109
266868,19,393,393.11,391.89,1.22,0,1,0,109
266872,19,393,393.11,391.89,1.22,0,1,0,110
266886,19,389,392.89,391.89,1.00,0,1,0,110
266904,19,389,392.56,392.78,-0.22,0,1,0,110
266908,19,389,392.56,392.78,-0.22,0,1,0,111
266923,19,388,392.56,392.78,-0.22,0,1,0,111
266941,19,385,392.56,392.67,-0.11,0,1,0,111
266944,19,385,392.56,392.67,-0.11,0,1,0,112
266959,19,435,392.56,392.89,-0.33,0,1,0,112
266977,19,401,392.56,392.89,-0.33,0,1,0,112
266980,19,401,392.56,392.89,-0.33,0,1,0,113
266995,19,396,392.56,393.11,-0.56,0,1,0,113
267013,19,392,392.67,392.89,-0.22,0,1,0,113
267016,19,392,392.67,392.89,-0.22,0,1,0,114
267031,19,389,392.22,392.56,-0.33,0,1,0,114
267049,19,389,392.22,392.56,-0.33,0,1,0,114
267053,19,389,392.22,392.56,-0.33,0,1,0,115
267067,19,389,391.89,392.56,-0.67,0,1,0,115
267085,19,392,391.89,392.56,-0.67,0,1,0,115
267089,19,392,391.89,392.56,-0.67,0,1,0,116
267103,19,386,391.56,392.56,-1.00,0,1,0,116
267121,19,428,391.56,392.56,-1.00,0,1,0,116
267125,19,428,391.56,392.56,-1.00,0,1,0,117
267139,19,403,391.56,392.67,-1.11,0,1,0,117
267157,19,393,391.22,392.22,-1.00,0,1,0,117
267161,19,393,391.22,392.22,-1.00,0,1,0,118
267175,19,393,391.00,392.22,-1.22,0,1,0,118
267193,19,392,391.33,391.89,-0.56,0,1,0,118
267197,19,392,391.33,391.89,-0.56,0,1,0,119
267211,19,392,391.22,391.89,-0.67,0,1,0,119
267229,19,388,391.22,391.56,-0.33,0,1,0,119
267233,19,388,391.22,391.56,-0.33,0,1,0,120
267247,19,389,391.22,391.56,-0.33,0,1,0,120
267265,19,388,391.22,391.56,-0.33,0,1,0,120
267269,19,388,391.22,391.56,-0.33,0,1,0,121
267283,19,425,392.00,391.22,0.78,0,1,0,121
267301,19,406,392.00,391.00,1.00,0,1,0,121
267305,19,406,392.00,391.00,1.00,0,1,0,122
267319,19,399,392.00,391.33,0.67,0,1,0,122
267337,19,391,391.44,391.22,0.22,0,1,0,122
267341,19,391,391.44,391.22,0.22,0,1,0,123
267355,19,393,391.56,391.22,0.33,0,1,0,123
267373,19,393,392.00,391.22,0.78,0,1,0,123
267377,19,393,392.00,391.22,0.78,0,1,0,124
267392,19,389,392.00,391.22,0.78,0,1,0,124
267410,19,389,392.00,392.00,0.00,0,1,0,124
267413,19,389,392.00,392.00,0.00,0,1,0,125
267428,19,393,392.11,392.00,0.11,0,1,0,125
267446,19,381,392.11,392.00,0.11,0,1,0,125
267449,19,381,392.11,392.00,0.11,0,1,0,126
267464,19,434,392.11,391.44,0.67,0,1,0,126
267482,19,397,392.11,391.56,0.56,0,1,0,126
267485,19,397,392.11,391.56,0.56,0,1,0,127
267500,19,393,392.11,392.00,0.11,0,1,0,127
267518,19,389,391.67,392.00,-0.33,0,1,0,127
267522,19,389,391.67,392.00,-0.33,0,1,0,128
267536,19,389,391.33,392.00,-0.67,0,1,0,128
267554,19,389,391.00,392.11,-1.11,0,1,0,128
267558,19,389,391.00,392.11,-1.11,0,1,0,129
267572,19,389,391.00,392.11,-1.11,0,1,0,129
267590,19,389,391.00,392.11,-1.11,0,1,0,129
267594,19,389,391.00,392.11,-1.11,0,1,0,130
267608,19,384,391.00,392.11,-1.11,0,1,0,130
267626,19,429,391.00,392.11,-1.11,0,1,0,130
267630,19,429,391.00,392.11,-1.11,0,1,0,131
267644,19,398,391.00,391.67,-0.67,0,1,0,131
267662,19,393,391.00,391.33,-0.33,0,1,0,131
267666,19,393,391.00,391.33,-0.33,0,1,0,132
267680,19,389,390.78,391.00,-0.22,0,1,0,132
267698,19,389,390.33,391.00,-0.67,0,1,0,132
267702,19,389,390.33,391.00,-0.67,0,1,0,133
267716,19,389,389.89,391.00,-1.11,0,1,0,133
267734,19,392,390.22,391.00,-0.78,0,1,0,133
267738,19,392,390.22,391.00,-0.78,0,1,0,134
267752,19,389,390.22,391.00,-0.78,0,1,0,134
267770,19,384,389.78,391.00,-1.22,0,1,0,134
267774,19,384,389.78,391.00,-1.22,0,1,0,135
267788,19,421,390.22,391.00,-0.78,0,1,0,135
267806,19,399,390.22,390.78,-0.56,0,1,0,135
267810,19,399,390.22,390.78,-0.56,0,1,0,136
267824,19,394,390.22,390.33,-0.11,0,1,0,136
267842,19,391,390.00,389.89,0.11,0,1,0,136
267846,19,391,390.00,389.89,0.11,0,1,0,137
